date,val
20240213,78.28
20240214,77.09
20240215,78.47
20240216,79.65
20240220,78.72
20240221,78.89
20240222,79.64
20240223,77.6
20240226,78.53
20240227,79.8
20240228,79.44
20240229,79.22
20240301,80.9
20240304,79.67
20240305,79.11
20240306,80.08
20240307,79.81
20240308,78.96
20240311,78.87
20240312,78.51
20240313,80.67
20240314,82.16
20240315,81.94
20240318,83.68
20240319,84.39
20240320,82.79
20240321,81.99
20240322,81.1
20240325,82.41
20240326,82.41
20240327,82.15
20240328,83.96
20240401,84.54
20240402,85.95
20240403,86.22
20240404,87.37
20240405,87.69
20240408,87.24
20240409,86.04
20240410,86.98
20240411,85.79
20240412,86.46
20240415,86.21
20240416,86.15
20240417,83.58
20240418,83.5
20240419,83.79
20240422,83.82
20240423,84.17
20240424,84.09
20240425,84.92
20240426,85.38
20240429,84.26
20240430,83.49
20240501,80.7
20240502,80.59
20240503,79.65
20240506,80.1
20240507,79.97
20240508,80.57
20240509,80.86
20240510,79.81
20240513,80.71
20240514,79.62
20240515,80.23
20240516,80.85
20240517,81.66
20240520,81.39
20240521,80.66
20240522,79.15
20240523,77.47
20240524,78.48
20240528,80.9
20240529,80.24
20240530,78.96
20240531,77.97
20240603,75.26
20240604,74.27
20240605,75.08
20240606,76.52
20240607,76.53
20240610,78.75
20240611,78.88
20240612,79.56
20240613,79.61
20240614,79.41
20240617,81.33
20240618,82.67
20240620,83.34
20240621,81.71
20240624,82.63
20240625,81.97
20240626,82.19
20240627,83.04
20240628,82.83
20240701,84.7
20240702,84.09
20240703,85.19
20240705,84.44
20240708,83.63
20240709,82.78
20240710,83.39
20240711,83.92
20240712,83.49
20240715,83.22
20240716,81.92
20240717,84.16
20240718,84.17
20240719,81.43
20240722,81.25
20240723,78.24
20240724,78.78
20240725,79.43
20240726,78.58
20240729,77.27
20240730,76.17
20240731,79.36
20240801,77.74
20240802,74.99
20240805,74.46
